pc,explained_variance_ratio,cumulative
1,0.15492499054261905,0.15492499054261905
2,0.09583388290772914,0.2507588734503482
3,0.07752858775820286,0.32828746120855107
4,0.05324787085225095,0.38153533206080203
5,0.04952699146079204,0.43106232352159407
6,0.0373705467758792,0.46843287029747327
7,0.03543222758849915,0.5038650978859724
8,0.02957921279689092,0.5334443106828634
9,0.024072754361878383,0.5575170650447417
10,0.021488896219113502,0.5790059612638553
11,0.018706156098656484,0.5977121173625117
12,0.01777674913494969,0.6154888664974614
13,0.0167483820000911,0.6322372484975525
14,0.014924928020827396,0.6471621765183798
15,0.01429911018893681,0.6614612867073166
16,0.012596592404525802,0.6740578791118425
17,0.01194512607974524,0.6860030051915877
18,0.011647508244924765,0.6976505134365125
19,0.010781717538905793,0.7084322309754183
20,0.010625454833963396,0.7190576858093817
21,0.010027060436593344,0.729084746245975
22,0.00985601366700039,0.7389407599129754
23,0.009019893039368216,0.7479606529523436
24,0.008491223889942348,0.756451876842286
25,0.008364638729403717,0.7648165155716897
26,0.007798836532124186,0.7726153521038139
27,0.007622035639721282,0.7802373877435352
28,0.007498939837288025,0.7877363275808232
29,0.006859678770361543,0.7945960063511848
30,0.006277490389531208,0.800873496740716
