country,date,model,model_label,MAE,RMSE,mean_error_bias,max_absolute_error
EE,2025-03-26,LEAR_8w,LEAR 8w,151.59995621504848,185.57566736792432,146.91978144242537,328.5636868729678
EE,2025-03-26,LEAR_12w,LEAR 12w,149.27064496134713,181.28384518923542,148.43096762561723,300.3648095093771
EE,2025-03-26,LEAR_ensemble,Short-window ensemble,149.5741695986958,181.46345457978353,147.6753745340213,307.95404792910404
EE,2025-03-27,LEAR_8w,LEAR 8w,85.02469316594535,112.37241298301286,-64.91901983574454,260.7707315514678
EE,2025-03-27,LEAR_12w,LEAR 12w,55.87203425003697,71.25216869627077,-10.57685752253236,161.31931598781728
EE,2025-03-27,LEAR_ensemble,Short-window ensemble,66.62887293271297,87.22313054463258,-37.74793867913845,205.8981413874646
EE,2025-03-28,LEAR_8w,LEAR 8w,76.7127143897768,97.7865348773536,60.56231828846191,242.31734213947672
EE,2025-03-28,LEAR_12w,LEAR 12w,51.50944678996863,67.71612465378587,19.079799190125424,165.71521439253686
EE,2025-03-28,LEAR_ensemble,Short-window ensemble,58.651878188770745,75.44959784168464,39.82105873929367,176.74855823601445
EE,2025-03-29,LEAR_8w,LEAR 8w,68.78752522866586,74.21536187925793,-57.79467091929962,122.23855039057302
EE,2025-03-29,LEAR_12w,LEAR 12w,44.14023919710147,50.32460001673725,-33.929200683370965,99.53045180446301
EE,2025-03-29,LEAR_ensemble,Short-window ensemble,53.65055052690784,58.276156913743165,-45.8619358013353,100.72768568692075
EE,2025-03-30,LEAR_8w,LEAR 8w,64.43369777126371,90.4806576406919,30.858930353093516,269.02088934018104
EE,2025-03-30,LEAR_12w,LEAR 12w,86.47643278728519,97.15178224204641,-20.694061228039462,170.6798415708613
EE,2025-03-30,LEAR_ensemble,Short-window ensemble,70.51907481654814,86.8309650471578,5.082434562527027,214.880822389096
EE,2025-03-31,LEAR_8w,LEAR 8w,154.136749685996,220.78213354490794,134.71723736961147,625.252901538577
EE,2025-03-31,LEAR_12w,LEAR 12w,136.18337257745898,202.02853075538093,119.75450809349434,603.0770826974305
EE,2025-03-31,LEAR_ensemble,Short-window ensemble,144.59892173837932,210.26975626368298,127.2358727315529,614.1649921180037
EE,2025-04-01,LEAR_8w,LEAR 8w,86.8897688854618,127.15070806501609,26.453611180187853,392.00928239086033
EE,2025-04-01,LEAR_12w,LEAR 12w,80.82715316605028,131.9493920684715,52.957332498638124,413.507407228107
EE,2025-04-01,LEAR_ensemble,Short-window ensemble,80.30169671317528,127.55715152449204,39.705471839413,402.7583448094837
EE,2025-04-02,LEAR_8w,LEAR 8w,64.67386974917305,77.76371351756202,-56.39106840591669,205.7886108922616
EE,2025-04-02,LEAR_12w,LEAR 12w,67.97989592507004,83.88117633469516,-52.634136360579305,199.5476079195736
EE,2025-04-02,LEAR_ensemble,Short-window ensemble,60.340600463067766,73.67679141567223,-54.51260238324801,202.6681094059176
EE,2025-04-03,LEAR_8w,LEAR 8w,42.11441485856253,58.75905219065898,-3.972196684309079,139.73326877983123
EE,2025-04-03,LEAR_12w,LEAR 12w,58.61086133805401,75.7960971225389,45.09191111028878,202.08732100277695
EE,2025-04-03,LEAR_ensemble,Short-window ensemble,40.16605072344431,54.12086336546241,20.55985721298985,142.8677747550883
EE,2025-04-04,LEAR_8w,LEAR 8w,61.86783014818687,76.39755123176026,-52.47617015519632,167.1148441650977
EE,2025-04-04,LEAR_12w,LEAR 12w,70.04877749870742,100.00226170319067,-43.69052291133185,328.6370770829973
EE,2025-04-04,LEAR_ensemble,Short-window ensemble,64.65906572930261,81.80250315299156,-48.08334653326409,238.56000699163943
EE,2025-04-05,LEAR_8w,LEAR 8w,50.69525122445035,73.31370364222387,-1.1927308642488559,231.92280568111602
EE,2025-04-05,LEAR_12w,LEAR 12w,35.37400451936405,44.91753579027864,-2.490470243800224,92.6113207638717
EE,2025-04-05,LEAR_ensemble,Short-window ensemble,40.98774950451979,48.85154310910879,-1.8416005540245386,120.9712801352178
EE,2025-04-06,LEAR_8w,LEAR 8w,41.685396895603866,59.939687205294554,-17.098638489237533,184.65371766307786
EE,2025-04-06,LEAR_12w,LEAR 12w,52.2188852227633,65.02824106788235,-9.314187398770107,153.63509949158106
EE,2025-04-06,LEAR_ensemble,Short-window ensemble,45.94724623347471,59.712386815095066,-13.206412944003823,169.14440857732947
EE,2025-04-07,LEAR_8w,LEAR 8w,45.54686147369451,57.09564100769982,23.05070001141173,123.66771262764999
EE,2025-04-07,LEAR_12w,LEAR 12w,39.938633318871744,44.658968570427724,9.321307112432228,81.3067201265343
EE,2025-04-07,LEAR_ensemble,Short-window ensemble,39.16362327696879,45.591418173142216,16.186003561921975,97.6722085956808
EE,2025-04-08,LEAR_8w,LEAR 8w,46.99326802589783,63.42034631217226,-7.919608928014147,160.86741527104226
EE,2025-04-08,LEAR_12w,LEAR 12w,39.37296357647866,48.23918458268655,-22.00795987172205,108.7371016230918
EE,2025-04-08,LEAR_ensemble,Short-window ensemble,40.67017066819202,50.340201932106304,-14.963784399868098,100.20025949093824
EE,2025-04-09,LEAR_8w,LEAR 8w,58.91984315713387,76.48542272115753,-45.48127411375285,181.27365710720687
EE,2025-04-09,LEAR_12w,LEAR 12w,50.51608041552904,70.6740302451469,-38.36668920230486,158.08513909823523
EE,2025-04-09,LEAR_ensemble,Short-window ensemble,51.94204223966158,71.75067256535922,-41.92398165802886,167.07421628501913
EE,2025-04-10,LEAR_8w,LEAR 8w,39.560305769143746,57.17586443150898,13.169470738460143,183.7201328953763
EE,2025-04-10,LEAR_12w,LEAR 12w,48.241985912530886,64.76308991367989,38.356648954880136,151.39318522693708
EE,2025-04-10,LEAR_ensemble,Short-window ensemble,41.28123943022366,56.68931537780314,25.763059846670142,154.54781789536725
EE,2025-04-11,LEAR_8w,LEAR 8w,68.25504175825277,102.1934535628645,57.22775899903729,333.7420945745248
EE,2025-04-11,LEAR_12w,LEAR 12w,86.62509678410794,110.18497744128268,69.18758216301383,311.1090286562716
EE,2025-04-11,LEAR_ensemble,Short-window ensemble,76.53333898250487,99.15766542163367,63.20767058102555,258.2843654951902
EE,2025-04-12,LEAR_8w,LEAR 8w,40.816605303362174,46.95248217464596,-10.591768026635878,83.38884535592058
EE,2025-04-12,LEAR_12w,LEAR 12w,42.72485128225077,52.29930076033453,9.131872270558235,110.88801736013302
EE,2025-04-12,LEAR_ensemble,Short-window ensemble,35.26082092386629,43.80334128027903,-0.7299478780388243,94.55929374052968
EE,2025-04-13,LEAR_8w,LEAR 8w,38.23410801259089,49.2500412635857,-7.420232337007946,108.17872695938765
EE,2025-04-13,LEAR_12w,LEAR 12w,40.25000398279575,55.97010737787833,-21.8370923896354,132.70867095811
EE,2025-04-13,LEAR_ensemble,Short-window ensemble,37.16848600019201,49.92620980795747,-14.628662363321675,115.58713937923082
EE,2025-04-14,LEAR_8w,LEAR 8w,56.692604198219556,77.76460252591075,-4.861604185897948,175.30445451646924
EE,2025-04-14,LEAR_12w,LEAR 12w,55.055154177287505,68.59294775504992,-41.67242522811331,140.76673289637745
