country,date,model,model_label,MAE,RMSE,mean_error_bias,max_absolute_error
LV,2025-09-30,LEAR_8w,LEAR 8w,33.675596952510745,39.57789741171251,14.277828055838611,82.80440189984591
LV,2025-09-30,LEAR_12w,LEAR 12w,30.5517123233333,36.03210938821468,6.0953144087452324,88.59140538570622
LV,2025-09-30,LEAR_ensemble,Short-window ensemble,30.059120203954887,34.7888691725553,10.186571232291925,85.69790364277607
LV,2025-10-01,LEAR_8w,LEAR 8w,31.939363232046205,40.15904329447342,27.177643160287655,94.50221824527239
LV,2025-10-01,LEAR_12w,LEAR 12w,34.03377329760555,45.2982038747072,20.62192261008436,119.29472614568317
LV,2025-10-01,LEAR_ensemble,Short-window ensemble,31.678834977363483,41.94507657781038,23.89978288518601,106.89847219547778
LV,2025-10-02,LEAR_8w,LEAR 8w,36.40064378388808,43.53798101671858,9.7091106177842,111.36281367334246
LV,2025-10-02,LEAR_12w,LEAR 12w,40.341181630126144,52.28074204535793,7.387500985636926,159.1285271237783
LV,2025-10-02,LEAR_ensemble,Short-window ensemble,37.785402874341806,47.134794534630075,8.548305801710562,135.2456703985604
LV,2025-10-03,LEAR_8w,LEAR 8w,43.86716204106227,80.39373939261218,37.093520887250975,280.3610865097471
LV,2025-10-03,LEAR_12w,LEAR 12w,49.15190924222558,78.34397130099573,20.412768862243265,292.2523239417351
LV,2025-10-03,LEAR_ensemble,Short-window ensemble,45.648211455048504,78.71220215815107,28.753144874747118,286.3067052257411
LV,2025-10-04,LEAR_8w,LEAR 8w,66.12445676584814,78.06950968308227,-62.893685213065545,172.2747779376829
LV,2025-10-04,LEAR_12w,LEAR 12w,53.49146162184783,64.10352030214662,-51.26129922015422,123.82961538843905
LV,2025-10-04,LEAR_ensemble,Short-window ensemble,58.48080386554691,69.99930059537324,-57.07749221660989,148.05219666306098
LV,2025-10-05,LEAR_8w,LEAR 8w,34.84994660978348,49.018608251274266,-28.80758027000788,130.18700661266374
LV,2025-10-05,LEAR_12w,LEAR 12w,24.111391531454174,28.7012116616129,-11.52111679857112,57.39768711435644
LV,2025-10-05,LEAR_ensemble,Short-window ensemble,27.07975695173991,35.46300415544834,-20.164348534289505,87.60925280055767
LV,2025-10-06,LEAR_8w,LEAR 8w,65.23478134524136,80.64902732663597,51.41513817579307,160.95362732646055
LV,2025-10-06,LEAR_12w,LEAR 12w,58.659836002085775,74.10045462164337,34.4710789127873,172.95235406443223
LV,2025-10-06,LEAR_ensemble,Short-window ensemble,60.2164878032986,76.01317809462769,42.943108544290176,162.4984374912778
