country,model,period,days,MAE,RMSE,rMAE
EE,LEAR_8w,overall,964,40.71620924448768,68.8665226101175,0.8021984650674248
EE,LEAR_8w,pre_sync,405,38.27628675264959,73.44881183930697,0.7985219633536548
EE,LEAR_8w,post_sync,559,42.483952731418675,65.34618951533999,0.8106319542186563
EE,LEAR_12w,overall,964,41.4627578513132,70.6236958578993,0.8169071070949174
EE,LEAR_12w,pre_sync,405,39.77700882793528,76.80319582784603,0.8298301084135292
EE,LEAR_12w,post_sync,559,42.68409658918091,65.78496676520727,0.8144508786856981
EE,LEAR_ensemble,overall,964,39.18449093744937,65.52407495212637,0.7720202609167484
EE,LEAR_ensemble,pre_sync,405,37.37484177902558,71.52077702096193,0.7797159695840606
EE,LEAR_ensemble,post_sync,559,40.495596320564985,60.81111131507999,0.7726923290335095
LV,LEAR_8w,overall,964,36.40655757944179,58.92276122715604,0.7336503902505852
LV,LEAR_8w,pre_sync,405,35.105426188446266,61.55271946756464,0.740605642350585
LV,LEAR_8w,post_sync,559,37.34923774644213,56.941502328309525,0.7347422044570883
LV,LEAR_12w,overall,964,36.60042673319958,58.79219543581637,0.7375571639135879
LV,LEAR_12w,pre_sync,405,35.415100643296064,61.702998070434084,0.7471387249379453
LV,LEAR_12w,post_sync,559,37.45920502731572,56.589839526957995,0.7369055043593711
LV,LEAR_ensemble,overall,964,34.82655121572351,56.226146570749755,0.7018107338147652
LV,LEAR_ensemble,pre_sync,405,33.73654825920843,59.407947922839696,0.7117269524112964
LV,LEAR_ensemble,post_sync,559,35.616267132339985,53.8034862999349,0.7006508353665355
LT,LEAR_8w,overall,964,35.2355971484403,57.20404214625906,0.7078280056801142
LT,LEAR_8w,pre_sync,405,34.15126152346767,62.004385081197356,0.7194383143156061
LT,LEAR_8w,post_sync,559,36.021207037731735,53.457543776894894,0.7057503586126499
LT,LEAR_12w,overall,964,35.42915041972444,57.97012420035884,0.7117161880040507
LT,LEAR_12w,pre_sync,405,35.554718928766164,65.08349686744387,0.7490038701644836
LT,LEAR_12w,post_sync,559,35.33817502408597,52.214503488807864,0.6923679617354581
LT,LEAR_ensemble,overall,964,33.79384533747671,55.27412916694431,0.6788654680298838
LT,LEAR_ensemble,pre_sync,405,33.37586315706274,61.31373170195252,0.7031035943443951
LT,LEAR_ensemble,post_sync,559,34.09667679198057,50.4486978262997,0.6680437401287929
